freq,ampl_A,ampl_B,ampl_C
2162,0.026563028,0.014244378,0.026723884
2163,0.03384818,0.019146243,0.024969185
2164,0.03733453,0.024617573,0.022378718
2165,0.02596022,0.023511132,0.020383105
2166,0.05197258,0.02762191,0.03150044
2167,0.056391627,0.038991913,0.031907693
2168,0.047475982,0.030321185,0.03214161
2169,0.06237585,0.04413661,0.04037688
2170,0.06611005,0.059454545,0.04619395
2171,0.08934913,0.07866975,0.054668322
2172,0.14456046,0.13201423,0.13689223
2173,0.38723686,0.36706355,0.34396118
2174,0.18264957,0.20402424,0.19889061
2175,0.057294413,0.07313538,0.06750623
2176,0.031850874,0.040900193,0.048067287
2177,0.004025175,0.027452406,0.040374156
2178,0.008612804,0.013955428,0.030037483
2179,0.0044712285,0.007588567,0.016458407
2180,0.007532495,0.010322331,0.020298617
2181,0.0029096068,0.015657265,0.019464996
2182,0.007800312,0.019952409,0.029054066
2183,0.013240631,0.0051269243,0.017334538
2184,0.009543038,0.012898647,0.0182085
2185,0.0101521285,0.011038177,0.014988431
2186,0.019584259,0.008013632,0.014414804
2187,0.01762025,0.011259836,0.020692764
2188,0.018863779,0.011795837,0.016277436
2189,0.008286372,0.022693481,0.008216779
2190,0.017973132,0.011308618,0.015509552
2191,0.01006266,0.02086122,0.016058858
2192,0.023544403,0.012763646,0.021618119
2193,0.020464571,0.023009848,0.026534073
2194,0.032842554,0.009035622,0.021718124
2195,0.02688501,0.01509681,0.026951507
2196,0.013717027,0.018737068,0.017005855
2197,0.02457517,0.013489666,0.021307973
2198,0.018141007,0.022197703,0.014695867
2199,0.025271147,0.013267466,0.020066567
2200,0.028780403,0.012999901,0.024562351
2201,0.019105203,0.021357864,0.023689333
2202,0.030343266,0.017106788,0.020402474
2203,0.036224894,0.009874969,0.019579496
2204,0.017066142,0.02167358,0.023590995
2205,0.014523079,0.02073706,0.03338812
2206,0.026279379,0.012717954,0.020028714
2207,0.027050065,0.023573538,0.012660754
2208,0.032198753,0.024738183,0.01771109
2209,0.021486506,0.01773043,0.030262772
2210,0.02733413,0.01796872,0.021891966
2211,0.025432263,0.0129940715,0.036581695
2212,0.043916143,0.045439735,0.011835449
2213,0.071886204,0.06214503,0.04780074
2214,0.026307285,0.03434551,0.009100296
2215,0.008884584,0.012806199,0.034648933
2216,0.017405897,0.021763742,0.030816663
2217,0.024154838,0.022210438,0.02162541
2218,0.014037691,0.019352404,0.020671794
2219,0.02264918,0.022250138,0.023853317
2220,0.029955609,0.031305015,0.022537356
2221,0.02867842,0.01780698,0.022205038
2222,0.02694788,0.024497591,0.024722675
2223,0.027560262,0.031369437,0.030154116
2224,0.025713654,0.02199894,0.026566647
2225,0.027520787,0.02774568,0.030697113
2226,0.02626433,0.034158163,0.030693434
2227,0.0335473,0.024848778,0.023913024
2228,0.03629071,0.03457165,0.024425872
2229,0.039582536,0.03637796,0.030301668
2230,0.04057676,0.03514812,0.035726134
2231,0.037853505,0.038588002,0.041058503
2232,0.02988879,0.03611978,0.02169303
2233,0.03078573,0.027774952,0.027619846
2234,0.0422679,0.03393336,0.034468934
2235,0.036654968,0.03687367,0.025456645
2236,0.0472647,0.037578348,0.041609228
2237,0.036363427,0.04711794,0.033679146
2238,0.055651512,0.04499188,0.04411546
2239,0.045183256,0.052755944,0.03174479
2240,0.06305309,0.032857023,0.060491618
2241,0.04653992,0.06407716,0.03576502
2242,0.05607884,0.046575855,0.060693294
2243,0.04461417,0.05874016,0.041146174
2244,0.05742358,0.032416895,0.07277819
2245,0.08215945,0.03499931,0.091617666
2246,0.086448655,0.10346696,0.067594476
2247,0.10732039,0.09549875,0.06854419
2248,0.086107604,0.10244833,0.06903919
2249,0.1026685,0.04568382,0.12475499
2250,0.12787038,0.14036645,0.14028269
2251,0.23431653,0.25634405,0.21543019
2252,0.24341956,0.31503743,0.14846578
2253,0.46845403,0.5165258,0.52716005
2254,1.7464615,1.630492,1.6090792
2255,0.77199125,0.89157635,0.7661434
2256,0.32055438,0.3642248,0.33035707
2257,0.19026992,0.23960544,0.22408654
2258,0.124845244,0.07048469,0.091302335
2259,0.10105084,0.07940808,0.075417824
2260,0.13861474,0.053737417,0.07093596
2261,0.033265155,0.11946488,0.12023866
2262,0.056686386,0.08947858,0.07512624
2263,0.0742776,0.03533667,0.040611744
2264,0.043009996,0.06437978,0.07941188
2265,0.07088323,0.039496228,0.034024276
2266,0.07831835,0.012164945,0.0061090067
2267,0.02833372,0.041890044,0.029071456
2268,0.033049643,0.05337793,0.05305327
2269,0.019232709,0.03687602,0.025102878
2270,0.01328128,0.05801718,0.053404216
2271,0.023941843,0.019995252,0.020091923
2272,0.027058415,0.031577356,0.027486121
2273,0.023867683,0.030310115,0.031358536
2274,0.023962568,0.011007228,0.024020432
2275,0.013473116,0.025795033,0.026240174
2276,0.016249469,0.025988963,0.024056885
2277,0.0077230977,0.015518019,0.017746745
2278,0.016673539,0.017146073,0.010096566
2279,0.011074254,0.011679105,0.019074297
2280,0.016638134,0.01065837,0.018354991
2281,0.012326952,0.008663741,0.015735567
2282,0.010369032,0.013405133,0.018241402
2283,0.010088342,0.009002472,0.014149048
2284,0.007442156,0.0053225164,0.018005028
2285,0.0053310804,0.014198281,0.013015279
2286,0.012209004,0.009545426,0.009171256
2287,0.004400997,0.0064733215,0.014084168
2288,0.011268506,0.0069541293,0.01848037
2289,0.009437804,0.008526353,0.01895631
2290,0.0038153937,0.0064451117,0.010009818
2291,0.004296053,0.0039114,0.015127958
2292,0.004793903,0.009810334,0.013455298
2293,0.007998647,0.015494738,0.0064897123
2294,0.007979964,0.009930216,0.013788776
2295,0.0050043054,0.013120782,0.012512466
2296,0.013785237,0.016965745,0.0058025946
2297,0.039049845,0.032238435,0.046699625
2298,0.013206817,0.0089457985,0.018145721
2299,0.016606329,0.011929419,0.023774277
2300,0.01460371,0.015750373,0.023965867
2301,0.0030402998,0.009680014,0.0134961335
2302,0.008145803,0.013482832,0.02067652
2303,0.010839398,0.0037631586,0.011943172
2304,0.0037608922,0.0062101576,0.010494203
2305,0.0085585015,0.015511713,0.018527294
2306,0.0029422427,0.012087456,0.016209748
2307,0.0015972692,0.008384592,0.012108611
2308,0.0049346774,0.010684899,0.012694313
2309,0.0022713696,0.012454593,0.010481492
2310,0.0012868547,0.010953518,0.014883627
2311,0.0024304844,0.010635203,0.018256178
2312,0.005278452,0.010853706,0.017885432
2313,0.0011633337,0.010996597,0.017293263
2314,0.005853466,0.008496604,0.014520565
2315,0.0044141538,0.011219288,0.019607192
2316,0.004505711,0.012484599,0.015472232
2317,0.0073623075,0.012055394,0.0133593865
2318,0.011253506,0.0069887745,0.009818583
2319,0.009976439,0.0071204044,0.013342786
2320,0.0016592685,0.009661759,0.01689318
2321,0.003974583,0.010543569,0.015385971
2322,0.0051562483,0.014551789,0.0076507353
2323,0.0069020307,0.011950247,0.012820205
2324,0.0082429815,0.0064975764,0.012805225
2325,0.007330872,0.01664731,0.014183735
2326,0.006151076,0.020179853,0.0049300445
2327,0.011295975,0.009199506,0.009928327
2328,0.011272331,0.01270651,0.017471908
2329,0.002903955,0.015994454,0.010728243
2330,0.010525199,0.010624267,0.013992038
2331,0.009500916,0.018739257,0.014209981
2332,0.018453477,0.014661885,0.0188046
2333,0.013413534,0.015572846,0.015578858
2334,0.02794957,0.035871305,0.0344608
2335,0.10586968,0.107704625,0.10007385
2336,0.04002904,0.05196075,0.046375196
2337,0.019495452,0.017316155,0.013742151
2338,0.020552728,0.014660655,0.004578657
2339,0.0051821405,0.010203915,0.018348472
2340,0.010986754,0.007571232,0.0129866265
2341,0.00036220317,0.011413729,0.013347515
2342,0.011560936,0.014037329,0.015308109
2343,0.0008483484,0.008126888,0.010906017
2344,0.011787408,0.017991394,0.010338619
